id,type,lat,lng,age,usage,start,end,group,location_name,material,diameter_mm,last_inspection

W001,Water,25.4700,81.8200,65,75,Z-A1,Z-A2,A,Civil Lines,DI,350,2026-03-10
E001,Electricity,25.4700,81.8300,45,60,P-A1,P-A2,G,Civil Lines,Copper,0,2026-02-15
S001,Sewage,25.4700,81.8400,30,40,S-A1,S-A2,D,Allahpur,Concrete,550,2026-01-20

W002,Water,25.4700,81.8500,70,85,Z-A2,Z-A3,A,Civil Lines,DI,360,2026-03-10
E002,Electricity,25.4700,81.8600,50,65,P-A2,P-A3,G,Civil Lines,Copper,0,2026-02-15
S002,Sewage,25.4700,81.8700,35,45,S-A2,S-A3,D,Allahpur,Concrete,560,2026-01-20

W003,Water,25.4600,81.8200,80,92,Z-A3,Z-A4,A,Civil Lines,Iron,370,2026-03-05
E003,Electricity,25.4600,81.8300,55,70,P-A3,P-A4,G,Civil Lines,Copper,0,2026-02-10
S003,Sewage,25.4600,81.8400,25,38,S-A3,S-A4,D,Allahpur,Concrete,570,2026-01-18

W004,Water,25.4600,81.8500,60,75,Z-A4,Z-A5,A,Civil Lines,DI,340,2026-03-05
E004,Electricity,25.4600,81.8600,48,62,P-A4,P-A5,G,Civil Lines,Copper,0,2026-02-10
S004,Sewage,25.4600,81.8700,32,44,S-A4,S-A5,D,Allahpur,Concrete,580,2026-01-18

W005,Water,25.4500,81.8200,72,88,Z-B1,Z-B2,B,Katra,DI,355,2026-03-01
E005,Electricity,25.4500,81.8300,58,69,P-B1,P-B2,H,Katra,Aluminum,0,2026-02-08
S005,Sewage,25.4500,81.8400,40,50,S-B1,S-B2,E,Naini,Concrete,540,2026-01-15

W006,Water,25.4500,81.8500,68,80,Z-B2,Z-B3,B,Katra,DI,345,2026-03-01
E006,Electricity,25.4500,81.8600,46,59,P-B2,P-B3,H,Katra,Aluminum,0,2026-02-08
S006,Sewage,25.4500,81.8700,35,42,S-B2,S-B3,E,Naini,Concrete,545,2026-01-15

W007,Water,25.4400,81.8200,78,90,Z-B3,Z-B4,B,Katra,Iron,365,2026-02-25
E007,Electricity,25.4400,81.8300,52,64,P-B3,P-B4,H,Katra,Aluminum,0,2026-02-05
S007,Sewage,25.4400,81.8400,30,39,S-B3,S-B4,E,Naini,Concrete,550,2026-01-12

W008,Water,25.4400,81.8500,65,74,Z-B4,Z-B5,B,Katra,DI,335,2026-02-25
E008,Electricity,25.4400,81.8600,45,55,P-B4,P-B5,H,Katra,Aluminum,0,2026-02-05
S008,Sewage,25.4400,81.8700,28,36,S-B4,S-B5,E,Naini,Concrete,555,2026-01-12

W009,Water,25.4300,81.8200,70,82,Z-C1,Z-C2,C,Phaphamau,PVC,250,2026-02-20
E009,Electricity,25.4300,81.8300,50,63,P-C1,P-C2,I,Jhunsi,Aluminum,0,2026-02-02
S009,Sewage,25.4300,81.8400,34,43,S-C1,S-C2,F,Meja,Concrete,500,2026-01-08

W010,Water,25.4300,81.8500,79,91,Z-C2,Z-C3,C,Phaphamau,PVC,260,2026-02-20
E010,Electricity,25.4300,81.8600,60,72,P-C2,P-C3,I,Jhunsi,Aluminum,0,2026-02-02

W011,Water,25.4200,81.8200,62,77,Z-C3,Z-C4,C,Phaphamau,PVC,240,2026-02-15
E011,Electricity,25.4200,81.8300,48,58,P-C3,P-C4,I,Jhunsi,Aluminum,0,2026-01-30

W012,Water,25.4200,81.8500,74,86,Z-C4,Z-C5,C,Phaphamau,PVC,255,2026-02-15
E012,Electricity,25.4200,81.8600,56,67,P-C4,P-C5,I,Jhunsi,Aluminum,0,2026-01-30
S012,Sewage,25.4200,81.8700,38,49,S-C2,S-C3,F,Meja,Concrete,510,2026-01-08

E013,Electricity,25.4100,81.8300,44,57,P-D1,P-D2,I,Jhunsi,Aluminum,0,2026-01-28
S013,Sewage,25.4100,81.8400,29,37,S-D1,S-D2,F,Meja,Concrete,520,2026-01-05
W014,Water,25.4100,81.8500,77,89,Z-D1,Z-D2,C,Phaphamau,PVC,270,2026-02-10

E014,Electricity,25.4100,81.8600,53,65,P-D2,P-D3,I,Jhunsi,Aluminum,0,2026-01-28
S014,Sewage,25.4100,81.8700,33,42,S-D2,S-D3,F,Meja,Concrete,525,2026-01-05

W015,Water,25.4650,81.8250,66,78,Z-E1,Z-E2,A,Civil Lines,DI,350,2026-03-10
E015,Electricity,25.4550,81.8350,54,66,P-E1,P-E2,G,Civil Lines,Copper,0,2026-02-15
S015,Sewage,25.4450,81.8450,36,45,S-E1,S-E2,D,Allahpur,Concrete,560,2026-01-20

W016,Water,25.4350,81.8550,72,84,Z-E2,Z-E3,B,Katra,DI,345,2026-03-01
S016,Sewage,25.4150,81.8750,27,36,S-E2,S-E3,E,Naini,Concrete,545,2026-01-15

W017,Water,25.4650,81.8750,75,88,Z-E3,Z-E4,A,Civil Lines,Iron,360,2026-03-10
E017,Electricity,25.4550,81.8650,52,63,P-E2,P-E3,G,Civil Lines,Copper,0,2026-02-15
S017,Sewage,25.4450,81.8550,34,44,S-E3,S-E4,D,Allahpur,Concrete,565,2026-01-20

W018,Water,25.4350,81.8450,64,76,Z-F1,Z-F2,B,Katra,DI,335,2026-02-25
E018,Electricity,25.4250,81.8350,49,60,P-F1,P-F2,H,Katra,Aluminum,0,2026-02-05

W019,Water,25.4720,81.8350,67,78,Z-F2,Z-F3,A,Civil Lines,DI,355,2026-03-05
E019,Electricity,25.4710,81.8450,49,61,P-F2,P-F3,G,Civil Lines,Copper,0,2026-02-10
S019,Sewage,25.4700,81.8550,31,42,S-F1,S-F2,D,Allahpur,Concrete,570,2026-01-18

W020,Water,25.4680,81.8650,74,86,Z-F3,Z-F4,A,Civil Lines,Iron,365,2026-03-05
E020,Electricity,25.4670,81.8750,56,69,P-F3,P-F4,G,Civil Lines,Copper,0,2026-02-10

W021,Water,25.4580,81.8180,71,83,Z-G1,Z-G2,B,Katra,DI,340,2026-02-25
E021,Electricity,25.4480,81.8185,53,64,P-G1,P-G2,H,Katra,Aluminum,0,2026-02-05
S021,Sewage,25.4380,81.8190,29,38,S-G1,S-G2,E,Naini,Concrete,550,2026-01-12

W022,Water,25.4280,81.8195,65,77,Z-G2,Z-G3,C,Phaphamau,PVC,245,2026-02-20
E022,Electricity,25.4180,81.8200,47,58,P-G2,P-G3,I,Jhunsi,Aluminum,0,2026-02-02

W023,Water,25.4725,81.8285,78,91,Z-H1,Z-H2,A,Civil Lines,Iron,370,2026-03-10
E023,Electricity,25.4625,81.8385,60,72,P-H1,P-H2,G,Civil Lines,Copper,0,2026-02-15
S023,Sewage,25.4525,81.8485,26,35,S-H1,S-H2,D,Allahpur,Concrete,580,2026-01-20

W024,Water,25.4425,81.8585,63,75,Z-H2,Z-H3,B,Katra,DI,335,2026-03-01
E024,Electricity,25.4325,81.8685,48,59,P-H2,P-H3,H,Katra,Aluminum,0,2026-02-08

W025,Water,25.4125,81.8885,76,89,Z-I1,Z-I2,C,Phaphamau,PVC,255,2026-02-15
E025,Electricity,25.4720,81.8185,55,66,P-I1,P-I2,G,Civil Lines,Copper,0,2026-02-15
S025,Sewage,25.4620,81.8285,34,43,S-I1,S-I2,D,Allahpur,Concrete,590,2026-01-20

W026,Water,25.4520,81.8385,72,84,Z-I2,Z-I3,B,Katra,DI,345,2026-03-01
E026,Electricity,25.4420,81.8485,50,62,P-I2,P-I3,H,Katra,Aluminum,0,2026-02-08
S026,Sewage,25.4320,81.8585,28,36,S-I2,S-I3,E,Naini,Concrete,560,2026-01-15

W027,Water,25.4220,81.8685,66,79,Z-J1,Z-J2,C,Phaphamau,PVC,250,2026-02-20
E027,Electricity,25.4120,81.8785,46,57,P-J1,P-J2,I,Jhunsi,Aluminum,0,2026-02-02
S027,Sewage,25.4020,81.8885,32,41,S-J1,S-J2,F,Meja,Concrete,570,2026-01-12
